stadium_id,address
ATL00,"Atlanta, Georgia 30313"
ATL97,"Atlanta, Georgia 30313"
BAL00,"Baltimore, Maryland 21230"
BOS00,"Foxborough, Massachusetts 02035"
BOS99,"Foxborough, Massachusetts 02035"
BRG00,"Baton Rouge, Louisiana 70893"
BUF00,"Orchard Park, New York 14127"
BUF01,"Toronto, ON M5V 1J1, Canada"
CAR00,"Charlotte, North Carolina 28202"
CHI98,"Chicago, Illinois 60605"
CHI99,"Champaign, Illinois 61820"
CIN00,"Cincinnati, Ohio 45202"
CLE00,"Cleveland, Ohio 44114"
DAL00,"Arlington, Texas 76001"
DAL99,"Irving, Texas 75062"
DEN00,"Denver, Colorado 80204"
DEN99,"Denver, Colorado 80204"
DET00,"Detroit, Michigan 48226"
DET99,"Pontiac, Michigan 48342"
GNB00,"Green Bay, Wisconsin 54307"
HOU00,"Houston, Texas 77054"
IND00,"Indianapolis, Indiana 46225"
IND99,"Indianapolis, Indiana 46225"
JAX00,"Jacksonville, Florida 32202"
KAN00,"Kansas City, Missouri 64129"
LAX01,"Inglewood, California 90301"
LAX97,"Carson, California 90746"
LAX99,"Los Angeles, California 90037"
MIA00,"Miami Garden, Florida 33056"
MIN00,"Minneapolis, Minnesota 55415"
MIN01,"Minneapolis, Minnesota 55415"
MIN98,"Minneapolis, Minnesota 55455"
NAS00,"Nashville, Tennessee 37213"
NOR00,"New Orleans, Louisiana 70112"
NYC00,"East Rutherford, New Jersey 07073"
NYC01,"East Rutherford, New Jersey 07073"
OAK00,"Oakland, California 94621"
PHI00,"Philadelphia, Pennsylvania 19148"
PHI99,"Philadelphia, Pennsylvania 19101"
PHO00,"Glendale, Arizona 85305"
PHO99,"Tempe, Arizona 85281"
PIT00,"Pittsburgh, Pennsylvania 15212"
PIT99,"Pittsburgh, Pennsylvania 15212"
SAN00,"San Antonio, Texas 78203"
SDG00,"San Diego, California 92108"
SEA00,"Seattle, Washington 98134"
SEA99,"Seattle, Washington 98105"
SFO00,"San Francisco, California 94124"
SFO01,"Santa Clara, California 95054"
STL00,"St. Louis, Missouri 63101"
TAM00,"Tampa Bay, Florida 33607"
VEG00,"Las Vegas, Nevada 89118"
WAS00,"Hyattsville, Maryland 20785"
